pair_id,topic,focal_event,positive_valence,negative_valence,positive_minus_negative_valence,abs_delta_valence,positive_arousal,negative_arousal,positive_minus_negative_arousal,abs_delta_arousal,positive_dominance,negative_dominance,positive_minus_negative_dominance,abs_delta_dominance,largest_abs_delta,largest_changed_dimension
1,animals,A dog died,2.6955270767211914,2.016972780227661,0.6785542964935303,0.6785542964935303,3.1018166542053223,3.2582805156707764,-0.1564638614654541,0.1564638614654541,2.8895368576049805,2.620042085647583,0.26949477195739746,0.26949477195739746,0.6785542964935303,valence
9,culture,A concert was postponed,3.1369788646698,2.530703067779541,0.6062757968902588,0.6062757968902588,3.2672946453094482,3.1475918292999268,0.11970281600952148,0.11970281600952148,2.967217445373535,2.810293197631836,0.15692424774169922,0.15692424774169922,0.6062757968902588,valence
12,science,An experiment was interrupted,3.280538320541382,2.6959433555603027,0.5845949649810791,0.5845949649810791,3.0801267623901367,3.0101308822631836,0.06999588012695312,0.06999588012695312,3.0236289501190186,2.8266873359680176,0.19694161415100098,0.19694161415100098,0.5845949649810791,valence
8,technology,An app went offline for two hours,3.0150818824768066,2.4553332328796387,0.559748649597168,0.559748649597168,3.103321075439453,3.1574697494506836,-0.05414867401123047,0.05414867401123047,2.8397998809814453,2.767646074295044,0.07215380668640137,0.07215380668640137,0.559748649597168,valence
14,food,A batch of food was recalled,3.0107383728027344,2.4684314727783203,0.5423069000244141,0.5423069000244141,3.0505495071411133,3.0491392612457275,0.0014102458953857422,0.0014102458953857422,3.058347702026367,3.0157222747802734,0.04262542724609375,0.04262542724609375,0.5423069000244141,valence
7,transport,A bus broke down in the morning,2.8565452098846436,2.352142333984375,0.5044028759002686,0.5044028759002686,3.1314735412597656,3.278514862060547,-0.14704132080078125,0.14704132080078125,2.9848899841308594,2.772571563720703,0.21231842041015625,0.21231842041015625,0.5044028759002686,valence
19,justice,A hearing was rescheduled,3.0676329135894775,2.565169095993042,0.5024638175964355,0.5024638175964355,2.9696576595306396,3.126138210296631,-0.1564805507659912,0.1564805507659912,2.9656732082366943,2.809227228164673,0.15644598007202148,0.15644598007202148,0.5024638175964355,valence
18,tourism,A hotel canceled reservations,3.10215163230896,2.600233316421509,0.5019183158874512,0.5019183158874512,3.294201612472534,3.090139865875244,0.20406174659729004,0.20406174659729004,2.949965238571167,2.8037242889404297,0.1462409496307373,0.1462409496307373,0.5019183158874512,valence
6,environment,A fire reached a forest area,2.851933479309082,2.3769075870513916,0.47502589225769043,0.47502589225769043,3.078730821609497,3.2437946796417236,-0.16506385803222656,0.16506385803222656,2.8270773887634277,2.6531901359558105,0.1738872528076172,0.1738872528076172,0.47502589225769043,valence
3,education,A school canceled Friday classes,2.845280647277832,2.3809337615966797,0.46434688568115234,0.46434688568115234,3.194807291030884,3.1454896926879883,0.04931759834289551,0.04931759834289551,2.9336533546447754,2.7538957595825195,0.17975759506225586,0.17975759506225586,0.46434688568115234,valence
4,economy,A factory laid off 30 workers,2.5233497619628906,2.107788562774658,0.4155611991882324,0.4155611991882324,3.2534451484680176,3.2787201404571533,-0.025274991989135742,0.025274991989135742,2.863149881362915,2.7826943397521973,0.08045554161071777,0.08045554161071777,0.4155611991882324,valence
5,public_safety,A robbery happened downtown,2.800356388092041,2.4280858039855957,0.3722705841064453,0.3722705841064453,3.2609567642211914,3.423367977142334,-0.16241121292114258,0.16241121292114258,3.0804708003997803,2.785155773162842,0.2953150272369385,0.2953150272369385,0.3722705841064453,valence
17,energy,A substation had a technical failure,2.7584590911865234,2.4066269397735596,0.35183215141296387,0.35183215141296387,2.9825735092163086,3.0480196475982666,-0.06544613838195801,0.06544613838195801,3.0619843006134033,2.6965630054473877,0.3654212951660156,0.3654212951660156,0.3654212951660156,dominance
10,sports,A player was injured during training,2.828731060028076,2.4696786403656006,0.3590524196624756,0.3590524196624756,3.1408028602600098,3.1090035438537598,0.03179931640625,0.03179931640625,2.8960914611816406,2.8569889068603516,0.03910255432128906,0.03910255432128906,0.3590524196624756,valence
11,agriculture,A corn harvest had partial losses,2.7396907806396484,2.4638869762420654,0.275803804397583,0.275803804397583,3.0500874519348145,3.065694808959961,-0.015607357025146484,0.015607357025146484,2.951827049255371,2.793473482131958,0.15835356712341309,0.15835356712341309,0.275803804397583,valence
16,politics,A vote was suspended,2.8669352531433105,2.6426172256469727,0.2243180274963379,0.2243180274963379,2.954185962677002,3.2259140014648438,-0.2717280387878418,0.2717280387878418,3.00834321975708,2.958078384399414,0.050264835357666016,0.050264835357666016,0.2717280387878418,arousal
13,housing,A building showed cracks,2.786402702331543,2.5199694633483887,0.2664332389831543,0.2664332389831543,2.927828311920166,3.065260410308838,-0.13743209838867188,0.13743209838867188,2.9304122924804688,2.820946216583252,0.1094660758972168,0.1094660758972168,0.2664332389831543,valence
20,community,A community fair lost stalls,2.851630449295044,2.6104395389556885,0.24119091033935547,0.24119091033935547,3.0309653282165527,3.039053440093994,-0.008088111877441406,0.008088111877441406,2.853790521621704,2.780088424682617,0.07370209693908691,0.07370209693908691,0.24119091033935547,valence
15,weather,A storm flooded two streets,2.5523314476013184,2.3961243629455566,0.15620708465576172,0.15620708465576172,3.2233800888061523,3.2358198165893555,-0.012439727783203125,0.012439727783203125,2.690553665161133,2.7255396842956543,-0.034986019134521484,0.034986019134521484,0.15620708465576172,valence
2,health,A hospital lost power for one hour,2.83685040473938,2.7170207500457764,0.11982965469360352,0.11982965469360352,3.0801804065704346,3.222593307495117,-0.14241290092468262,0.14241290092468262,3.0309643745422363,2.9639406204223633,0.06702375411987305,0.06702375411987305,0.14241290092468262,arousal
