coefficient,odds_ratio,ngram,absolute_coefficient
-1.0282023117386505,0.35764932500389135,is,1.0282023117386505
-0.9973049392074405,0.3688722358498205,this,0.9973049392074405
-0.9259173546280214,0.39616782593996924,just,0.9259173546280214
0.7848896640570048,2.1921650527906933,criticism,0.7848896640570048
-0.7586332337773921,0.4683060546969816,via,0.7586332337773921
0.7564730761073323,2.1307479665986784,criticized,0.7564730761073323
0.7485544820143732,2.113942065707077,2017,0.7485544820143732
0.7393634363096275,2.0946017426088908,had,0.7393634363096275
0.7249517762562592,2.064631533303786,did not,0.7249517762562592
-0.6861702116208308,0.5035006823450164,even,0.6861702116208308
-0.6738924748401779,0.5097206365376532,image via,0.6738924748401779
0.6604532337688859,1.9356694463771325,president donald,0.6604532337688859
-0.6424962910480164,0.5259777902222171,has,0.6424962910480164
0.6341924633373612,1.8854989170088696,wrote,0.6341924633373612
-0.6177687247910336,0.5391460797807506,it,0.6177687247910336
-0.6175807602531224,0.5392474296492955,like,0.6175807602531224
0.6118407059156925,1.8438222115319498,comments,0.6118407059156925
0.6039088053554365,1.8292550461274144,political,0.6039088053554365
-0.5806475772829233,0.5595359064755951,so,0.5806475772829233
-0.5797650031159542,0.560029956397922,will,0.5797650031159542
-0.5791822293965353,0.5603564222572198,all,0.5791822293965353
-0.5712005864115117,0.5648468839557788,featured image,0.5712005864115117
0.5671765102800089,1.7632814093585534,online,0.5671765102800089
-0.5602445551010208,0.5710693888383156,image,0.5602445551010208
0.5537926963485257,1.7398392020627693,said,0.5537926963485257
-0.5529089463467359,0.5752739330377356,getty,0.5529089463467359
-0.5516923699784257,0.5759742236020774,we,0.5516923699784257
-0.5436213747382873,0.5806417191493155,getty images,0.5436213747382873
-0.5434300426923345,0.5807528251461358,featured,0.5434300426923345
0.5388248511404249,1.7139914830948908,during,0.5388248511404249
0.5384585842391136,1.7133638196986842,during the,0.5384585842391136
0.5369597604820842,1.7107977128526277,described,0.5369597604820842
-0.5305749353831928,0.5882666571178139,out,0.5305749353831928
0.5278370420244133,1.6952615606994843,also,0.5278370420244133
-0.5187244737303486,0.595279358385407,if,0.5187244737303486
0.5133921884166213,1.6709497684954355,attention,0.5133921884166213
0.5124198907269683,1.669325897466955,prompted,0.5124198907269683
0.5103859971464674,1.6659341166701656,debate,0.5103859971464674
-0.5099103010535291,0.6005494450488821,are,0.5099103010535291
-0.5078493813188839,0.6017884055123193,which,0.5078493813188839
0.4990849234450772,1.6472132546000269,said the,0.4990849234450772
-0.49850732491298344,0.6074366889533106,but,0.49850732491298344
-0.4868914147648925,0.6145337586145145,images,0.4868914147648925
-0.4848805872333597,0.6157707232598771,twitter com,0.4848805872333597
-0.483870990159603,0.6163927175091398,pic,0.483870990159603
0.48386597532473136,1.6223341982668293,continued,0.48386597532473136
-0.4833845926624998,0.6166926023098649,pic twitter,0.4833845926624998
-0.4811867598723061,0.6180494800817248,up,0.4811867598723061
-0.4769042783698106,0.620701941051556,now,0.4769042783698106
0.47364791929799116,1.6058415016818361,on twitter,0.47364791929799116
-0.47191722670139,0.6238051451903931,can,0.47191722670139
0.47103494366171045,1.6016509542456858,including,0.47103494366171045
-0.4682115750806093,0.6261210380336287,only,0.4682115750806093
-0.46176167803924584,0.6301725059945095,com,0.46176167803924584
-0.4572241467513134,0.6330384306514001,be,0.4572241467513134
0.45438260813193104,1.5752005667399747,whether,0.45438260813193104
0.4531761740492861,1.5733013369673803,had been,0.4531761740492861
0.4497205206147178,1.5678739358083658,establish,0.4497205206147178
0.44574484096453243,1.5616529458334336,broader,0.44574484096453243
-0.44200849211377297,0.6427441771756756,well,0.44200849211377297
0.43854167506523223,1.550444517136114,later,0.43854167506523223
-0.43817020118012656,0.645215956993997,get,0.43817020118012656
0.4378686197211176,1.549401333267722,drew,0.4378686197211176
0.4371128467356471,1.548230779988377,argued,0.4371128467356471
0.43414136236515405,1.5436370648801494,said he,0.43414136236515405
-0.42999410363653445,0.6505129303726849,fact,0.42999410363653445
-0.42629103313003713,0.6529262912842362,there,0.42629103313003713
-0.4255788327851444,0.6533914712450798,something,0.4255788327851444
0.4211372202234988,1.5236933456057298,argued that,0.4211372202234988
0.42052614114827935,1.5227625329142236,debate over,0.42052614114827935
0.4124687482700505,1.5105423345088984,criticism from,0.4124687482700505
-0.4120442088852098,0.6622949960814528,course,0.4120442088852098
0.4084277440242893,1.5044505432886044,widely,0.4084277440242893
0.4049542775160688,1.4992339497894562,and other,0.4049542775160688
0.4024510033018243,1.495485649570827,remarks,0.4024510033018243
0.39657793872245495,1.4867283071642805,response,0.39657793872245495
-0.395000946702409,0.6736794014746534,way,0.395000946702409
0.39448528243878783,1.4836203489085742,criticized the,0.39448528243878783
-0.3917119288411132,0.675898792867142,this is,0.3917119288411132
0.38915547403497375,1.4757339718132745,allegations,0.38915547403497375
0.3890023093097236,1.475507958733997,faced,0.3890023093097236
0.3878841752988277,1.4738590651157968,remained,0.3878841752988277
-0.38700353314408453,0.6790886956041905,don,0.38700353314408453
-0.38664334919244736,0.6793333365093045,they,0.38664334919244736
0.3830008103230596,1.4666792185519089,and the,0.3830008103230596
0.3819574055918943,1.4651496766205805,support,0.3819574055918943
0.3816857861975802,1.464751767595188,public,0.3816857861975802
-0.38029311256017045,0.6836609902179971,has been,0.38029311256017045
-0.37441295669877056,0.6876928658080304,have,0.37441295669877056
0.3698352591086023,1.44749613321676,federal,0.3698352591086023
0.36952816788023335,1.4470516880972426,continued to,0.36952816788023335
0.36822002313701285,1.4451599726268793,renewed,0.36822002313701285
-0.3662179850339486,0.6933516444536445,re,0.3662179850339486
0.3658805948825523,1.4417830760984012,authorities,0.3658805948825523
0.36400666304183793,1.439083802801688,trump wrote,0.36400666304183793
-0.36150560470858906,0.6966266916749518,actually,0.36150560470858906
0.36004658856329885,1.4333961928740393,views,0.36004658856329885
0.3567457824022676,1.428672629960912,dispute,0.3567457824022676
