pair_id,original_id,subject,title,date,false_valence,rewritten_valence,delta_valence,false_arousal,rewritten_arousal,delta_arousal,false_dominance,rewritten_dominance,delta_dominance,absolute_delta_sum
Fake.csv:15381,Fake.csv:15381,politics,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,"Aug 1, 2015",3.452853202819824,3.1221323013305664,-0.3307209014892578,3.514704704284668,2.9921114444732666,-0.5225932598114014,3.3882014751434326,3.2609262466430664,-0.1272752285003662,0.9805893898010254
Fake.csv:13474,Fake.csv:13474,politics,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],"Jul 20, 2016",3.060201644897461,2.577770709991455,-0.48243093490600586,3.295518398284912,3.2606053352355957,-0.034913063049316406,3.0495519638061523,2.843744993209839,-0.20580697059631348,0.7231509685516357
Fake.csv:19179,Fake.csv:19179,left-news,‘SLEEPY’ JUSTICE GINSBURG: Excites Crowd By Saying She’d Back Abolition Of The Electoral College [Video],"Feb 7, 2017",2.993924140930176,3.110671043395996,0.11674690246582031,3.5457170009613037,2.95001220703125,-0.5957047939300537,3.19102144241333,3.1879382133483887,-0.0030832290649414062,0.7155349254608154
Fake.csv:3844,Fake.csv:3844,News," Leslie Knope Writes Powerful, Heartbreaking Letter To America That EVERYONE Should Read","November 10, 2016",2.673483371734619,2.803264856338501,0.12978148460388184,3.4062538146972656,3.0813024044036865,-0.3249514102935791,3.227530002593994,3.054764747619629,-0.17276525497436523,0.6274981498718262
Fake.csv:4894,Fake.csv:4894,News, Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary’s Brilliant Speech,"August 25, 2016",2.771284580230713,2.8868465423583984,0.11556196212768555,3.3855607509613037,3.010202407836914,-0.37535834312438965,3.323326587677002,3.208868980407715,-0.11445760726928711,0.6053779125213623
Fake.csv:3296,Fake.csv:3296,News, Anthony Bourdain Reveals The ‘ONE Good Thing’ About Trump And It’s HILARIOUS,"December 22, 2016",2.611124038696289,2.731318473815918,0.1201944351196289,3.4824466705322266,3.1319828033447266,-0.3504638671875,3.1914453506469727,3.1055121421813965,-0.08593320846557617,0.5565915107727051
Fake.csv:11994,Fake.csv:11994,politics,BREAKING: OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky,"Jan 4, 2017",3.000999927520752,3.118659496307373,0.1176595687866211,3.2549595832824707,2.943899154663086,-0.31106042861938477,3.2564597129821777,3.160687208175659,-0.09577250480651855,0.5244925022125244
Fake.csv:501,Fake.csv:501,News, WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,"August 24, 2017",2.785123825073242,2.9374003410339355,0.15227651596069336,3.3254919052124023,3.0066170692443848,-0.3188748359680176,3.1176257133483887,3.1381962299346924,0.02057051658630371,0.49172186851501465
Fake.csv:1201,Fake.csv:1201,News, It’s Mueller Time!: Russia Probe Just Got Worse For Trump And It’s Going To Hurt,"June 9, 2017",2.9462904930114746,3.0463218688964844,0.10003137588500977,3.2905540466308594,3.043142795562744,-0.24741125106811523,3.271544933319092,3.1826467514038086,-0.0888981819152832,0.4363408088684082
Fake.csv:6087,Fake.csv:6087,News, Why This Attorney General Is Going After Trump For ‘Fraud’,"May 31, 2016",2.766150951385498,2.8553032875061035,0.08915233612060547,3.256891965866089,3.078172206878662,-0.17871975898742676,3.066866397857666,3.1981825828552246,0.1313161849975586,0.3991882801055908
Fake.csv:9514,Fake.csv:9514,politics,JUST IN: RAND PAUL ASSAULTED By Democrat Doctor…Here’s What We Know About The Attacker,"Nov 4, 2017",2.6960105895996094,2.8799195289611816,0.18390893936157227,3.2170424461364746,3.0878145694732666,-0.129227876663208,3.0800247192382812,3.1499626636505127,0.06993794441223145,0.3830747604370117
Fake.csv:6173,Fake.csv:6173,News, Watch Hillary’s Reaction When Security Tries To Kick Shirtless Male Supporters Out Of Her Rally,"May 26, 2016",3.131903648376465,2.8980460166931152,-0.2338576316833496,3.4019076824188232,3.273066997528076,-0.12884068489074707,3.184988021850586,3.204692840576172,0.019704818725585938,0.3824031352996826
Fake.csv:7285,Fake.csv:7285,News, Everyone Is Freaking Out Over This ‘Visitor’ At A Bernie Sanders Rally (VIDEO/TWEETS),"March 25, 2016",3.029834747314453,2.93391752243042,-0.0959172248840332,3.420793056488037,3.1519925594329834,-0.2688004970550537,3.1329119205474854,3.1152706146240234,-0.017641305923461914,0.38235902786254883
